x,y,z,t,mu,alpha
84.0030,289.2551,385.6407,89.0000,-0.0000,10.1674
76.6651,296.0899,384.6775,90.0000,-0.0000,10.1674
69.4102,302.8476,385.2612,91.0000,-0.0000,10.1674
62.9304,308.8833,385.7982,92.0000,-0.0000,10.1674
56.5174,314.8567,384.8983,93.0000,-0.0000,10.1674
49.3862,321.4991,383.7117,94.0000,-0.0000,10.1674
42.0319,328.3492,383.8793,95.0000,-0.0000,10.1674
35.3440,334.5787,384.5364,96.0000,-0.0000,10.1674
28.9619,340.5233,384.0222,97.0000,-0.0000,10.1674
22.0371,346.9735,382.7898,98.0000,-0.0000,10.1674
14.6766,353.8294,382.5480,99.0000,0.0000,10.1674
7.7870,360.2468,383.1701,100.0000,-0.0000,10.1674
-0.3682,363.4013,382.3683,101.0000,-43.3980,11.5319
-10.1170,360.9708,380.7815,102.0000,-21.4189,10.4364
-19.0225,355.5257,381.3229,103.0000,-8.7627,10.2102
-25.9379,349.9497,382.5708,104.0000,-4.4481,10.1783
-32.0533,344.4095,381.8620,105.0000,-2.2706,10.1702
-38.8841,337.8318,380.0056,106.0000,-1.2526,10.1682
-46.2959,330.4374,379.8377,107.0000,-0.5686,10.1676
-52.8579,323.7813,381.0660,108.0000,-0.2656,10.1674
-58.6906,317.8228,380.9581,109.0000,-0.1349,10.1674
-65.0354,311.3181,379.2784,110.0000,-0.0743,10.1674
-72.2333,303.9233,378.5411,111.0000,-0.0370,10.1674
-79.0249,296.9384,379.5317,112.0000,-0.0158,10.1674
-84.9827,290.8085,379.9003,113.0000,-0.0081,10.1674
-91.1207,284.4918,378.5672,114.0000,-0.0044,10.1674
-98.1212,277.2867,377.4336,115.0000,-0.0023,10.1674
-105.1007,270.1027,378.0321,116.0000,-0.0010,10.1674
-111.2594,263.7634,378.7045,117.0000,-0.0005,10.1674
-117.2930,257.5527,377.8042,118.0000,-0.0003,10.1674
-124.0667,250.5802,376.4739,119.0000,-0.0001,10.1674
-131.1343,243.3051,376.6108,120.0000,-0.0001,10.1674
-137.5172,236.7349,377.3968,121.0000,-0.0000,10.1674
-143.5339,230.5415,376.9388,122.0000,-0.0000,10.1674
-150.0895,223.7934,375.6009,123.0000,-0.0000,10.1674
-157.1464,216.5293,375.2905,124.0000,-0.0000,10.1674
-163.7415,209.7406,376.0125,125.0000,-0.0000,10.1674
-169.8156,203.4882,375.9434,126.0000,-0.0000,10.1674
-176.1927,196.9238,374.7515,127.0000,-0.0000,10.1674
-183.1605,189.7515,374.0756,128.0000,-0.0000,10.1674
-189.9259,182.7875,374.5937,129.0000,-0.0000,10.1674
-196.1127,176.4191,374.8160,130.0000,-0.0000,10.1674
-202.3686,169.9795,373.8735,131.0000,-0.0000,10.1674
-209.1988,162.9487,372.9558,132.0000,-0.0000,10.1674
-216.0729,155.8728,373.1837,133.0000,-0.0000,10.1674
-222.4047,149.3552,373.5751,134.0000,-0.0000,10.1674
-228.6020,142.9758,372.9311,135.0000,-0.0000,10.1674
-235.2779,136.1039,371.9085,136.0000,-0.0000,10.1674
-242.1921,128.9868,371.8187,137.0000,-0.0000,10.1674
-248.6767,122.3118,372.2521,138.0000,-0.0000,10.1674
-254.8746,115.9319,371.9050,139.0000,-0.0000,10.1674
-261.4065,109.2083,370.9036,140.0000,-0.0000,10.1674
-268.2979,102.1146,370.5213,141.0000,-0.0000,10.1674
-274.9202,95.2978,370.8837,142.0000,-0.0000,10.1674
-281.1677,88.8669,370.7901,143.0000,-0.0000,10.1674
-287.5851,82.2611,369.9089,144.0000,-0.0000,10.1674
-294.4062,75.2398,369.2992,145.0000,-0.0000,10.1674
-301.1331,68.3154,369.5057,146.0000,-0.0000,10.1674
-307.4647,61.7979,369.5938,147.0000,-0.0000,10.1674
-313.8077,55.2686,368.8958,148.0000,-0.0000,10.1674
-320.5311,48.3478,368.1456,149.0000,-0.0000,10.1674
-327.3189,41.3607,368.1486,150.0000,-0.0000,10.1674
-333.7525,34.7383,368.3321,151.0000,-0.0000,10.1674
-340.0642,28.2413,367.8427,152.0000,-0.0000,10.1674
-346.6828,21.4284,367.0436,153.0000,-0.0000,10.1674
-353.4859,14.4255,366.8339,154.0000,0.0000,10.1674
-360.0222,7.6974,367.0269,155.0000,-0.0000,10.1674
-366.3422,1.1918,366.7374,156.0000,-0.0000,10.1674
-369.4583,-7.4961,365.1889,157.0000,-45.0000,11.6694
-363.9726,-16.5326,363.6184,158.0000,-40.5791,11.3156
-354.1218,-20.9159,364.8368,159.0000,-14.9153,10.2938
-345.8547,-22.4610,366.6941,160.0000,-8.0983,10.2039
-338.1828,-23.1041,365.5877,161.0000,-4.1832,10.1771
-328.5991,-23.3640,363.0095,162.0000,-2.3829,10.1705
-317.6742,-23.2911,363.0978,163.0000,-0.9665,10.1679
-308.5761,-23.0969,365.0157,164.0000,-0.4601,10.1675
-300.7960,-22.8830,364.7924,165.0000,-0.2426,10.1674
-291.8146,-22.6077,362.4019,166.0000,-0.1390,10.1674
-281.0558,-22.2568,361.5971,167.0000,-0.0642,10.1674
-271.3362,-21.9306,363.2407,168.0000,-0.0270,10.1674
-263.2870,-21.6575,363.7463,169.0000,-0.0144,10.1674
-254.7351,-21.3657,361.8172,170.0000,-0.0080,10.1674
-244.3512,-21.0102,360.3662,171.0000,-0.0041,10.1674
-234.1695,-20.6610,361.4773,172.0000,-0.0016,10.1674
-225.7211,-20.3711,362.4801,173.0000,-0.0008,10.1674
-217.4075,-20.0857,361.1622,174.0000,-0.0005,10.1674
-207.4948,-19.7454,359.3670,175.0000,-0.0002,10.1674
-197.0673,-19.3873,359.8147,176.0000,-0.0001,10.1674
-188.1545,-19.0812,361.0481,177.0000,-0.0001,10.1674
-179.8990,-18.7978,360.3788,178.0000,-0.0000,10.1674
-170.4508,-18.4733,358.5333,179.0000,-0.0000,10.1674
-159.9993,-18.1144,358.3182,180.0000,-0.0000,10.1674
-150.6275,-17.7926,359.5222,181.0000,-0.0000,10.1674
-142.2755,-17.5058,359.4457,182.0000,-0.0000,10.1674
-133.2128,-17.1946,357.7919,183.0000,-0.0000,10.1674
-122.9199,-16.8411,357.0248,184.0000,-0.0000,10.1674
-113.1620,-16.5060,357.9848,185.0000,-0.0000,10.1674
-104.5940,-16.2118,358.3770,186.0000,-0.0000,10.1674
-95.7988,-15.9097,357.0832,187.0000,-0.0000,10.1674
-85.7815,-15.5658,355.9459,188.0000,-0.0000,10.1674
-75.7605,-15.2216,356.5223,189.0000,-0.0000,10.1674
-66.9000,-14.9174,357.2185,190.0000,-0.0000,10.1674
-58.2424,-14.6201,356.3748,191.0000,-0.0000,10.1674
-48.5462,-14.2871,355.0766,192.0000,-0.0000,10.1674
-38.4083,-13.9390,355.2182,193.0000,-0.0000,10.1674
-29.2276,-13.6237,356.0415,194.0000,-0.0000,10.1674
-20.5852,-13.3269,355.6632,195.0000,-0.0000,10.1674
-11.1954,-13.0045,354.3999,196.0000,-0.0000,10.1674
-1.0807,-12.6571,354.1345,197.0000,-0.0000,10.1674
8.3980,-12.3316,354.9161,198.0000,-0.0000,10.1674
