x,y,z,t,mu,alpha
0.0000,0.8395,397.6036,0.0000,0.0000,0.0000
12.0903,1.3097,401.1158,1.0000,1.1310,10.1681
18.0815,1.4043,405.7372,2.0000,0.6978,10.1676
22.7852,1.4389,403.7171,3.0000,0.3833,10.1675
31.7580,1.4504,398.0083,4.0000,0.2530,10.1674
44.6086,1.4199,398.8066,5.0000,0.0593,10.1674
52.5262,1.3925,404.0283,6.0000,0.0290,10.1674
57.6034,1.3727,404.2991,7.0000,0.0177,10.1674
65.1117,1.3416,399.4001,8.0000,0.0122,10.1674
77.5597,1.2879,397.9619,9.0000,0.0043,10.1674
87.3486,1.2449,402.8910,10.0000,0.0016,10.1674
93.1741,1.2192,405.2512,11.0000,0.0010,10.1674
99.8612,1.1896,402.0103,12.0000,0.0007,10.1674
111.2209,1.1392,399.3730,13.0000,0.0003,10.1674
122.3799,1.0896,403.3597,14.0000,0.0001,10.1674
129.1778,1.0594,407.3156,15.0000,0.0001,10.1674
135.4726,1.0315,405.9628,16.0000,0.0000,10.1674
145.4545,0.9871,402.8270,17.0000,0.0000,10.1674
157.2683,0.9346,405.0726,18.0000,0.0000,10.1674
165.2223,0.8992,409.5036,19.0000,0.0000,10.1674
171.4839,0.8714,409.5543,20.0000,0.0000,10.1674
180.1896,0.8327,406.1706,21.0000,0.0000,10.1674
191.9777,0.7803,406.1585,22.0000,0.0000,10.1674
201.2347,0.7391,409.9859,23.0000,0.0000,10.1674
207.8892,0.7095,411.0434,24.0000,0.0000,10.1674
215.7451,0.6746,407.9574,25.0000,0.0000,10.1674
226.9722,0.6247,406.1677,26.0000,0.0000,10.1674
237.3324,0.5787,408.9132,27.0000,0.0000,10.1674
244.6546,0.5461,410.7906,28.0000,0.0000,10.1674
252.0599,0.5132,408.5499,29.0000,0.0000,10.1674
262.4439,0.4670,405.7951,30.0000,0.0000,10.1674
273.4755,0.4180,407.2548,31.0000,0.0000,10.1674
281.6178,0.3818,409.6212,32.0000,0.0000,10.1674
288.8928,0.3494,408.4477,33.0000,0.0000,10.1674
298.4104,0.3071,405.4150,34.0000,0.0000,10.1674
309.6389,0.2572,405.5719,35.0000,0.0000,10.1674
318.6463,0.2172,407.9929,36.0000,0.0000,10.1674
326.0542,0.1842,407.8625,37.0000,0.0000,10.1674
334.8512,0.1451,405.0642,38.0000,0.0000,10.1674
345.8705,0.0962,404.1024,39.0000,0.0000,10.1674
355.6570,0.0526,406.1603,40.0000,0.0000,10.1674
362.9852,2.7846,406.3424,41.0000,-45.0000,11.6694
366.4054,10.8898,403.1791,42.0000,-45.0000,11.6694
363.1170,22.0555,401.8569,43.0000,-18.6498,10.3683
357.6536,30.3949,404.8918,44.0000,-7.3669,10.1976
353.1775,35.7695,406.2482,45.0000,-4.3681,10.1779
348.0568,41.3064,403.3686,46.0000,-2.6086,10.1711
340.4216,48.9512,400.7499,47.0000,-1.3955,10.1685
332.6156,56.4597,402.7156,48.0000,-0.4451,10.1675
326.9954,61.7881,404.8728,49.0000,-0.2572,10.1674
321.7096,66.7686,403.1280,50.0000,-0.1403,10.1674
314.4919,73.5427,400.0398,51.0000,-0.0817,10.1674
306.2920,81.2206,400.7397,52.0000,-0.0295,10.1674
300.0036,87.1030,403.2109,53.0000,-0.0153,10.1674
294.6844,92.0769,402.6067,54.0000,-0.0083,10.1674
288.0500,98.2793,399.5888,55.0000,-0.0050,10.1674
279.8776,105.9183,399.0747,56.0000,-0.0021,10.1674
272.9684,112.3762,401.3816,57.0000,-0.0009,10.1674
267.4588,117.5258,401.7702,58.0000,-0.0005,10.1674
261.2711,123.3090,399.2202,59.0000,-0.0003,10.1674
253.3807,130.6837,397.7529,60.0000,-0.0002,10.1674
245.9672,137.6126,399.5055,61.0000,-0.0001,10.1674
240.1344,143.0641,400.6297,62.0000,-0.0000,10.1674
234.2185,148.5933,398.7868,63.0000,-0.0000,10.1674
226.7438,155.5793,396.7372,64.0000,-0.0000,10.1674
219.0139,162.8039,397.6946,65.0000,-0.0000,10.1674
212.7732,168.6365,399.2330,66.0000,-0.0000,10.1674
206.9602,174.0696,398.1886,67.0000,-0.0000,10.1674
199.9249,180.6449,395.9427,68.0000,-0.0000,10.1674
192.0929,187.9649,396.0379,69.0000,-0.0000,10.1674
185.4206,194.2010,397.6540,70.0000,-0.0000,10.1674
179.5636,199.6752,397.3746,71.0000,-0.0000,10.1674
172.9110,205.8929,395.2641,72.0000,-0.0000,10.1674
165.1686,213.1291,394.5878,73.0000,-0.0000,10.1674
158.1065,219.7295,395.9802,74.0000,-0.0000,10.1674
152.0873,225.3552,396.3353,75.0000,-0.0000,10.1674
145.7155,231.3105,394.6006,76.0000,-0.0000,10.1674
138.1977,238.3368,393.3539,77.0000,-0.0000,10.1674
130.8440,245.2097,394.2997,78.0000,-0.0000,10.1674
124.5791,251.0651,395.0928,79.0000,-0.0000,10.1674
118.3701,256.8682,393.8713,80.0000,-0.0000,10.1674
111.1424,263.6234,392.3065,81.0000,-0.0000,10.1674
103.6291,270.6455,392.6882,82.0000,-0.0000,10.1674
97.0754,276.7708,393.6911,83.0000,-0.0000,10.1674
90.9147,282.5287,393.0226,84.0000,-0.0000,10.1674
83.9792,289.0108,391.3896,85.0000,-0.0000,10.1674
76.4426,296.0548,391.1996,86.0000,-0.0000,10.1674
69.6018,302.4483,392.1872,87.0000,-0.0000,10.1674
63.3896,308.2544,392.0286,88.0000,-0.0000,10.1674
56.7020,314.5049,390.5364,89.0000,-0.0000,10.1674
49.2565,321.4636,389.8594,90.0000,-0.0000,10.1674
42.1723,328.0847,390.6427,91.0000,-0.0000,10.1674
35.8306,334.0118,390.8880,92.0000,-0.0000,10.1674
29.3200,340.0968,389.6834,93.0000,-0.0000,10.1674
22.0417,346.8992,388.6648,94.0000,-0.0000,10.1674
14.7890,353.6779,389.1151,95.0000,0.0000,10.1674
8.2674,359.7730,389.6192,96.0000,0.0000,10.1674
0.1658,362.9034,388.1398,97.0000,-43.4095,11.5328
-9.9491,360.2160,386.4270,98.0000,-21.1796,10.4301
-18.8211,354.6214,387.6125,99.0000,-7.8574,10.2017
-25.3450,349.3280,389.0513,100.0000,-4.2220,10.1772
-31.2737,343.9717,387.7937,101.0000,-2.2419,10.1702
-38.3291,337.1933,385.5742,102.0000,-1.2512,10.1682
-45.9122,329.6447,385.8801,103.0000,-0.5169,10.1675
-52.2299,323.2569,387.4809,104.0000,-0.2576,10.1674
-57.8352,317.5512,387.0022,105.0000,-0.1329,10.1674
-64.2967,310.9507,384.8396,106.0000,-0.0753,10.1674
-71.7323,303.3390,384.3482,107.0000,-0.0346,10.1674
-78.3921,296.5145,385.8033,108.0000,-0.0155,10.1674
-84.1036,290.6593,385.9975,109.0000,-0.0081,10.1674
-90.2587,284.3480,384.1558,110.0000,-0.0046,10.1674
-97.5027,276.9192,383.0421,111.0000,-0.0023,10.1674
-104.4639,269.7799,384.1062,112.0000,-0.0010,10.1674
-110.3891,263.7029,384.7924,113.0000,-0.0005,10.1674
-116.3590,257.5800,383.4343,114.0000,-0.0003,10.1674
-123.3384,250.4217,381.9391,115.0000,-0.0001,10.1674
-130.4850,243.0920,382.4665,116.0000,-0.0001,10.1674
-136.6765,236.7417,383.4230,117.0000,-0.0000,10.1674
-142.5725,230.6945,382.6121,118.0000,-0.0000,10.1674
-149.2710,223.8243,380.9871,119.0000,-0.0000,10.1674
-156.4726,216.4380,380.9417,120.0000,-0.0000,10.1674
-162.9402,209.8047,381.9410,121.0000,-0.0000,10.1674
-168.8615,203.7315,381.6542,122.0000,-0.0000,10.1674
-175.3108,197.1168,380.1193,123.0000,-0.0000,10.1674
-182.4519,189.7926,379.5628,124.0000,-0.0000,10.1674
-189.1641,182.9083,380.4050,125.0000,-0.0000,10.1674
-195.1906,176.7274,380.5515,126.0000,-0.0000,10.1674
-201.4529,170.3044,379.2695,127.0000,-0.0000,10.1674
-208.4510,163.1269,378.3328,128.0000,-0.0000,10.1674
-215.3436,156.0576,378.8727,129.0000,-0.0000,10.1674
-221.5302,149.7124,379.3164,130.0000,-0.0000,10.1674
-227.6808,143.4040,378.3824,131.0000,-0.0000,10.1674
-234.4942,136.4160,377.2305,132.0000,-0.0000,10.1674
-241.4842,129.2468,377.3925,133.0000,-0.0000,10.1674
-247.8575,122.7100,377.9770,134.0000,-0.0000,10.1674
-253.9722,116.4386,377.4199,135.0000,-0.0000,10.1674
-260.5972,109.6437,376.2181,136.0000,-0.0000,10.1674
-267.6003,102.4611,375.9979,137.0000,-0.0000,10.1674
-274.1573,95.7359,376.5710,138.0000,-0.0000,10.1674
-280.3029,89.4327,376.3620,139.0000,-0.0000,10.1674
-286.7655,82.8045,375.2512,140.0000,-0.0000,10.1674
-293.7105,75.6814,374.7042,141.0000,-0.0000,10.1674
-300.4221,68.7978,375.1392,142.0000,-0.0000,10.1674
-306.6508,62.4093,375.2061,143.0000,-0.0000,10.1674
-312.9951,55.9024,374.2871,144.0000,-0.0000,10.1674
-319.8341,48.8880,373.5086,145.0000,-0.0000,10.1674
-326.6520,41.8953,373.7199,146.0000,-0.0000,10.1674
-332.9970,35.3876,373.9637,147.0000,-0.0000,10.1674
-339.2753,28.9484,373.2914,148.0000,-0.0000,10.1674
-345.9863,22.0653,372.3938,149.0000,0.0000,10.1674
-352.8539,15.0216,372.3438,150.0000,0.0000,10.1674
-359.3276,8.3819,372.6562,151.0000,0.0000,10.1674
-365.5915,1.9574,372.2407,152.0000,0.0000,10.1674
-368.7003,-6.7878,370.5386,153.0000,-45.0000,11.6694
-363.1284,-15.9132,369.0640,154.0000,-39.8251,11.2628
-353.3674,-20.2971,370.4696,155.0000,-14.9222,10.2939
-345.2320,-21.8511,372.2523,156.0000,-8.1799,10.2047
-337.5433,-22.5236,370.9650,157.0000,-4.2914,10.1776
-327.8253,-22.8030,368.4052,158.0000,-2.4295,10.1706
-316.9118,-22.7408,368.6866,159.0000,-0.9634,10.1679
-307.9457,-22.5578,370.6058,160.0000,-0.4706,10.1675
-300.1888,-22.3514,370.2152,161.0000,-0.2467,10.1674
-291.0969,-22.0801,367.7731,162.0000,-0.1415,10.1674
-280.2929,-21.7361,367.1308,163.0000,-0.0638,10.1674
-270.6874,-21.4212,368.8404,164.0000,-0.0275,10.1674
-262.6952,-21.1561,369.2122,165.0000,-0.0146,10.1674
-254.0672,-20.8683,367.1839,166.0000,-0.0082,10.1674
-243.6027,-20.5181,365.8431,167.0000,-0.0042,10.1674
-233.5003,-20.1794,367.0642,168.0000,-0.0016,10.1674
-225.1321,-19.8986,367.9793,169.0000,-0.0009,10.1674
-216.7790,-19.6182,366.5372,170.0000,-0.0005,10.1674
-206.7727,-19.2823,364.7921,171.0000,-0.0002,10.1674
