x,y,z,t,mu,alpha
0.0000,-0.7743,411.6473,0.0000,0.0000,0.0000
12.4347,-0.4670,418.1112,1.0000,0.5143,10.1675
14.3679,-0.4493,424.5040,2.0000,0.3024,10.1674
14.8427,-0.4489,421.5221,3.0000,-0.2398,10.1674
21.9994,-0.4353,412.3729,4.0000,0.1008,10.1674
36.6047,-0.4243,413.5315,5.0000,-0.0132,10.1674
42.1432,-0.4184,421.5260,6.0000,-0.0064,10.1674
43.4135,-0.4168,421.9604,7.0000,-0.0019,10.1674
47.7523,-0.4113,414.2457,8.0000,-0.0012,10.1674
61.3836,-0.3938,410.4248,9.0000,0.0000,10.1674
70.9268,-0.3815,417.6740,10.0000,0.0000,10.1674
73.5598,-0.3781,421.1219,11.0000,0.0000,10.1674
76.7363,-0.3740,415.9566,12.0000,0.0000,10.1674
87.6469,-0.3600,409.2772,13.0000,0.0000,10.1674
100.1919,-0.3439,413.6164,14.0000,0.0000,10.1674
104.8675,-0.3378,419.1751,15.0000,0.0000,10.1674
107.9881,-0.3338,416.8577,16.0000,0.0000,10.1674
116.1270,-0.3234,409.6105,17.0000,0.0000,10.1674
129.7412,-0.3058,410.1111,18.0000,0.0000,10.1674
137.0353,-0.2965,416.4009,19.0000,0.0000,10.1674
140.7071,-0.2917,416.7914,20.0000,0.0000,10.1674
146.9280,-0.2837,410.5552,21.0000,0.0000,10.1674
159.7994,-0.2672,407.7055,22.0000,0.0000,10.1674
169.7145,-0.2544,413.1765,23.0000,0.0000,10.1674
174.3906,-0.2484,415.8094,24.0000,0.0000,10.1674
179.6635,-0.2416,411.3999,25.0000,0.0000,10.1674
190.8004,-0.2273,406.5110,26.0000,0.0000,10.1674
202.6300,-0.2121,409.9322,27.0000,0.0000,10.1674
208.7472,-0.2042,414.0541,28.0000,0.0000,10.1674
213.7989,-0.1977,411.7553,29.0000,0.0000,10.1674
223.0735,-0.1858,406.2392,30.0000,0.0000,10.1674
235.6927,-0.1695,407.0802,31.0000,0.0000,10.1674
243.5558,-0.1594,411.7362,32.0000,0.0000,10.1674
248.8718,-0.1526,411.4794,33.0000,0.0000,10.1674
256.6817,-0.1426,406.4295,34.0000,0.0000,10.1674
269.0097,-0.1267,404.9056,35.0000,0.0000,10.1674
278.6095,-0.1143,409.1083,36.0000,0.0000,10.1674
284.5546,-0.1067,410.5707,37.0000,0.0000,10.1674
291.4600,-0.0978,406.6639,38.0000,0.0000,10.1674
302.7938,-0.0832,403.4875,39.0000,0.0000,10.1674
313.7518,-0.0691,406.4385,40.0000,0.0000,10.1674
320.6302,-0.0603,409.1062,41.0000,0.0000,10.1674
327.1395,-0.0519,406.6610,42.0000,0.0000,10.1674
337.2356,-0.0389,402.7063,43.0000,0.0000,10.1674
348.9211,-0.0239,403.9766,44.0000,0.0000,10.1674
356.9400,-0.0136,407.2153,45.0000,-0.0000,10.1674
363.1213,1.9303,405.8936,46.0000,-45.0000,11.6694
366.4225,10.1553,400.8139,47.0000,-45.0000,11.6694
362.1742,22.2668,400.3885,48.0000,-14.5596,10.2877
357.2704,29.4719,405.3512,49.0000,-6.4081,10.1902
353.9008,33.4675,406.2309,50.0000,-3.9011,10.1758
349.2067,38.5302,401.4389,51.0000,-2.6232,10.1712
340.7182,46.9835,398.6088,52.0000,-1.0687,10.1680
333.1584,54.2628,402.5279,53.0000,-0.3416,10.1674
328.7279,58.4778,404.9980,54.0000,-0.2151,10.1674
324.1738,62.7895,401.7149,55.0000,-0.1283,10.1674
316.4325,70.0899,397.6210,56.0000,-0.0725,10.1674
307.9525,78.0701,399.8140,57.0000,-0.0190,10.1674
302.6346,83.0712,403.2226,58.0000,-0.0112,10.1674
298.1654,87.2731,401.6063,59.0000,-0.0061,10.1674
291.3920,93.6402,397.2070,60.0000,-0.0039,10.1674
282.6420,101.8643,397.4653,61.0000,-0.0013,10.1674
276.3573,107.7711,401.0746,62.0000,-0.0006,10.1674
271.7188,112.1306,401.0269,63.0000,-0.0004,10.1674
265.7172,117.7711,397.0647,64.0000,-0.0002,10.1674
257.2073,125.7690,395.6322,65.0000,-0.0001,10.1674
250.0233,132.5207,398.7447,66.0000,-0.0000,10.1674
245.0050,137.2371,399.9784,67.0000,-0.0000,10.1674
239.4972,142.4135,396.9266,68.0000,-0.0000,10.1674
231.5466,149.8857,394.3336,69.0000,-0.0000,10.1674
223.6954,157.2645,396.4259,70.0000,-0.0000,10.1674
218.1347,162.4907,398.5207,71.0000,-0.0000,10.1674
212.8553,167.4523,396.6059,72.0000,-0.0000,10.1674
205.5734,174.2961,393.4721,73.0000,-0.0000,10.1674
197.3868,181.9901,394.2883,74.0000,-0.0000,10.1674
191.1905,187.8135,396.7529,75.0000,-0.0000,10.1674
185.9164,192.7703,395.9989,76.0000,-0.0000,10.1674
179.2494,199.0362,392.8845,77.0000,-0.0000,10.1674
171.0650,206.7281,392.4513,78.0000,-0.0000,10.1674
164.2362,213.1460,394.7972,79.0000,-0.0000,10.1674
158.7868,218.2675,395.0700,80.0000,-0.0000,10.1674
152.5891,224.0923,392.3967,81.0000,-0.0000,10.1674
144.6695,231.5354,390.9632,82.0000,-0.0000,10.1674
137.3139,238.4484,392.7836,83.0000,-0.0000,10.1674
131.5496,243.8658,393.8340,84.0000,-0.0000,10.1674
125.6439,249.4161,391.8620,85.0000,-0.0000,10.1674
118.1367,256.4717,389.8001,86.0000,-0.0000,10.1674
110.4387,263.7064,390.8340,87.0000,-0.0000,10.1674
104.2684,269.5055,392.3422,88.0000,-0.0000,10.1674
98.4825,274.9433,391.1791,89.0000,-0.0000,10.1674
91.4216,281.5793,388.8834,90.0000,-0.0000,10.1674
83.5981,288.9321,389.0450,91.0000,-0.0000,10.1674
76.9906,295.1420,390.6695,92.0000,-0.0000,10.1674
71.1738,300.6088,390.2929,93.0000,-0.0000,10.1674
64.5082,306.8733,388.1076,94.0000,-0.0000,10.1674
56.7578,314.1574,387.4742,95.0000,-0.0000,10.1674
49.7486,320.7448,388.9029,96.0000,-0.0000,10.1674
43.7785,326.3557,389.1890,97.0000,-0.0000,10.1674
37.4080,332.3428,387.3673,98.0000,0.0000,10.1674
29.8743,339.4232,386.1337,99.0000,-0.0000,10.1674
22.5578,346.2995,387.1301,100.0000,0.0000,10.1674
16.3460,352.1375,387.8845,101.0000,0.0000,10.1674
10.1521,357.9588,386.5757,102.0000,-0.0000,10.1674
2.9085,364.7665,384.9946,103.0000,-0.0000,10.1674
-6.7951,368.0620,384.6122,104.0000,-41.6098,11.3911
-16.4142,365.1472,385.2663,105.0000,-18.4602,10.3641
-23.9477,360.4295,385.9203,106.0000,-9.3062,10.2157
-30.6878,354.9658,385.0367,107.0000,-4.8089,10.1802
-37.8010,348.3839,383.6871,108.0000,-2.5433,10.1710
-44.9860,341.2415,383.7401,109.0000,-1.1696,10.1681
-51.3970,334.6533,384.4655,110.0000,-0.5580,10.1676
-57.3879,328.4052,384.0075,111.0000,-0.2802,10.1674
-63.8594,321.6049,382.6639,112.0000,-0.1496,10.1674
-70.8107,314.2695,382.2871,113.0000,-0.0730,10.1674
-77.3291,307.3768,382.9411,114.0000,-0.0334,10.1674
-83.3342,301.0212,382.8610,115.0000,-0.0163,10.1674
-89.6118,294.3742,381.6741,116.0000,-0.0087,10.1674
-96.4594,287.1220,380.9534,117.0000,-0.0044,10.1674
-103.1315,280.0548,381.4039,118.0000,-0.0020,10.1674
-109.2456,273.5782,381.6044,119.0000,-0.0010,10.1674
-115.4095,267.0487,380.6712,120.0000,-0.0005,10.1674
-122.1215,259.9385,379.7289,121.0000,-0.0003,10.1674
-128.8925,252.7658,379.8960,122.0000,-0.0001,10.1674
-135.1474,246.1398,380.2558,123.0000,-0.0001,10.1674
-141.2593,239.6652,379.6197,124.0000,-0.0000,10.1674
-147.8226,232.7125,378.5885,125.0000,-0.0000,10.1674
-154.6269,225.5045,378.4487,126.0000,-0.0000,10.1674
-161.0285,218.7230,378.8432,127.0000,-0.0000,10.1674
-167.1448,212.2438,378.4981,128.0000,-0.0000,10.1674
-173.5710,205.4363,377.4988,129.0000,-0.0000,10.1674
-180.3491,198.2560,377.0794,130.0000,-0.0000,10.1674
-186.8812,191.3363,377.3989,131.0000,-0.0000,10.1674
-193.0483,184.8032,377.2991,132.0000,-0.0000,10.1674
-199.3668,178.1098,376.4250,133.0000,-0.0000,10.1674
-206.0745,171.0041,375.7910,134.0000,-0.0000,10.1674
-212.7041,163.9811,375.9548,135.0000,-0.0000,10.1674
-218.9541,157.3602,376.0277,136.0000,-0.0000,10.1674
-225.2040,150.7395,375.3371,137.0000,-0.0000,10.1674
-231.8163,143.7348,374.5736,138.0000,-0.0000,10.1674
-238.5010,136.6534,374.5370,139.0000,-0.0000,10.1674
-244.8498,129.9280,374.6969,140.0000,-0.0000,10.1674
