x,y,z,t,mu,alpha
0.0000,2.0706,398.9367,0.0000,0.0000,0.0000
12.7474,0.7987,406.9176,1.0000,-1.9142,10.1694
13.2331,0.7818,414.5496,2.0000,-0.8421,10.1678
13.0657,0.8967,412.3944,3.0000,22.4482,10.4647
17.0792,3.1384,402.5371,4.0000,45.0000,11.6694
32.3111,1.2232,401.0261,5.0000,-3.1975,10.1730
38.3875,0.8907,410.5566,6.0000,-1.2349,10.1682
38.4091,0.8907,412.7261,7.0000,0.4634,10.1675
39.7980,1.4126,405.4856,8.0000,-45.0000,11.6694
50.3809,6.8639,397.7383,9.0000,24.2500,10.5183
62.4346,7.9156,404.8675,10.0000,2.4202,10.1706
63.7451,7.9322,411.1632,11.0000,1.3908,10.1684
63.9680,8.1870,407.8930,12.0000,-32.1679,10.8250
70.1890,8.4905,397.9752,13.0000,37.9138,11.1375
84.4348,2.9825,398.5448,14.0000,-8.6475,10.2091
89.3077,2.1800,407.6641,15.0000,-3.9623,10.1761
89.3390,2.1839,408.7088,16.0000,2.5959,10.1711
92.2596,2.0581,400.8106,17.0000,2.1909,10.1700
105.7352,1.4368,395.7334,18.0000,-1.4434,10.1685
115.7303,1.2321,403.4367,19.0000,-0.3567,10.1675
117.5490,1.2148,407.6961,20.0000,-0.2121,10.1674
119.4853,1.2032,402.7955,21.0000,-0.0544,10.1674
129.5422,1.1527,394.9515,22.0000,-0.0117,10.1674
142.8146,1.0883,398.9653,23.0000,-0.0003,10.1674
147.1560,1.0672,405.4562,24.0000,-0.0002,10.1674
149.2906,1.0569,403.7370,25.0000,-0.0001,10.1674
156.2072,1.0234,395.8089,26.0000,-0.0000,10.1674
170.2432,0.9554,395.2559,27.0000,-0.0000,10.1674
177.7928,0.9188,402.2917,28.0000,-0.0000,10.1674
180.7321,0.9046,403.5336,29.0000,-0.0000,10.1674
185.7417,0.8803,397.1656,30.0000,-0.0000,10.1674
198.4142,0.8189,392.9824,31.0000,-0.0000,10.1674
209.0188,0.7676,398.6627,32.0000,-0.0000,10.1674
213.2722,0.7470,402.2874,33.0000,-0.0000,10.1674
217.5430,0.7263,398.2015,34.0000,-0.0000,10.1674
227.9418,0.6759,392.1702,35.0000,-0.0000,10.1674
240.5177,0.6150,395.1211,36.0000,-0.0000,10.1674
246.6139,0.5855,400.1871,37.0000,-0.0000,10.1674
